ogrid	relation	dgrid	m
54	0	95	13
54	0	99	18
54	0	100	18
54	0	101	20
54	0	102	29
54	0	103	18
54	0	105	40
54	0	106	15
54	0	109	28
54	0	110	13
54	0	151	36
55	0	16	102
55	0	19	105
55	0	39	10
55	0	41	10
55	0	52	320
55	0	53	20
55	0	54	44
55	0	56	156083
55	0	57	55
55	0	58	215334
55	0	59	15
55	0	60	176
55	0	61	15
55	0	64	11
55	0	67	27
55	0	68	71
55	0	69	107
55	0	70	13
55	0	75	14
55	0	105	23201
55	0	106	35
55	0	107	7945
55	0	108	17
55	0	109	11
55	0	110	80
56	0	0	12
56	0	8	10
56	0	13	10
56	0	16	80
56	0	18	13
56	0	20	25
56	0	29	48
56	0	31	34
56	0	34	24
56	0	35	13
56	0	38	85
56	0	39	44
56	0	40	19
56	0	41	33
56	0	45	57
56	0	48	13
56	0	52	198
56	0	53	10512
56	0	54	803
56	0	55	161489
56	0	57	954
56	0	58	1438
56	0	59	322
56	0	60	202925
56	0	61	41
56	0	62	47
56	0	64	194
56	0	65	32
56	0	66	24
56	0	67	1388
56	0	68	138589
56	0	69	219394
56	0	70	123
56	0	72	25
56	0	74	15
56	0	75	163
56	0	76	104
